regionName,provinceName,municipalityName,zipCode,normalizedProvince,normalizedMunicipality,source
Negros Island Region,Negros Occidental,Bacolod City,6100,NEGROS OCCIDENTAL,BACOLOD CITY,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Bago City,6101,NEGROS OCCIDENTAL,BAGO CITY,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Pulupandan,6102,NEGROS OCCIDENTAL,PULUPANDAN,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Valladolid,6103,NEGROS OCCIDENTAL,VALLADOLID,USE_POSTAL_PH
Negros Island Region,Negros Occidental,San Enrique,6104,NEGROS OCCIDENTAL,SAN ENRIQUE,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Pontevedra,6105,NEGROS OCCIDENTAL,PONTEVEDRA,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Hinigaran,6106,NEGROS OCCIDENTAL,HINIGARAN,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Binalbagan,6107,NEGROS OCCIDENTAL,BINALBAGAN,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Himamaylan,6108,NEGROS OCCIDENTAL,HIMAMAYLAN,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Ilog,6109,NEGROS OCCIDENTAL,ILOG,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Candoni,6110,NEGROS OCCIDENTAL,CANDONI,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Kabankalan,6111,NEGROS OCCIDENTAL,KABANKALAN,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Cauayan,6112,NEGROS OCCIDENTAL,CAUAYAN,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Sipalay,6113,NEGROS OCCIDENTAL,SIPALAY,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Hinoba-an,6114,NEGROS OCCIDENTAL,HINOBA AN,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Talisay,6115,NEGROS OCCIDENTAL,TALISAY,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Silay City,6116,NEGROS OCCIDENTAL,SILAY CITY,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Silay Hawaiian Central,6117,NEGROS OCCIDENTAL,SILAY HAWAIIAN CENTRAL,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Enrique Magalona,6118,NEGROS OCCIDENTAL,ENRIQUE MAGALONA,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Victorias,6119,NEGROS OCCIDENTAL,VICTORIAS,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Manapla,6120,NEGROS OCCIDENTAL,MANAPLA,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Cadiz City,6121,NEGROS OCCIDENTAL,CADIZ CITY,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Sagay,6122,NEGROS OCCIDENTAL,SAGAY,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Paraiso (Fabrica),6123,NEGROS OCCIDENTAL,PARAISO,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Escalante,6124,NEGROS OCCIDENTAL,ESCALANTE,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Toboso,6125,NEGROS OCCIDENTAL,TOBOSO,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Calatrava,6126,NEGROS OCCIDENTAL,CALATRAVA,USE_POSTAL_PH
Negros Island Region,Negros Occidental,San Carlos City,6127,NEGROS OCCIDENTAL,SAN CARLOS CITY,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Isabela,6128,NEGROS OCCIDENTAL,ISABELA,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Murcia,6129,NEGROS OCCIDENTAL,MURCIA,USE_POSTAL_PH
Negros Island Region,Negros Occidental,La Carlota City,6130,NEGROS OCCIDENTAL,LA CARLOTA CITY,USE_POSTAL_PH
Negros Island Region,Negros Occidental,La Castellana,6131,NEGROS OCCIDENTAL,LA CASTELLANA,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Moises Padilla,6132,NEGROS OCCIDENTAL,MOISES PADILLA,USE_POSTAL_PH
Negros Island Region,Negros Occidental,Don Salvador Benedicto,6133,NEGROS OCCIDENTAL,DON SALVADOR BENEDICTO,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Dumaguete City,6200,NEGROS ORIENTAL,DUMAGUETE CITY,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Sibulan,6201,NEGROS ORIENTAL,SIBULAN,USE_POSTAL_PH
Negros Island Region,Negros Oriental,San Jose,6202,NEGROS ORIENTAL,SAN JOSE,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Amlan,6203,NEGROS ORIENTAL,AMLAN,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Tanjay,6204,NEGROS ORIENTAL,TANJAY,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Pamplona,6205,NEGROS ORIENTAL,PAMPLONA,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Bais City,6206,NEGROS ORIENTAL,BAIS CITY,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Mabinay,6207,NEGROS ORIENTAL,MABINAY,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Manjuyod,6208,NEGROS ORIENTAL,MANJUYOD,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Bindoy,6209,NEGROS ORIENTAL,BINDOY,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Ayungon,6210,NEGROS ORIENTAL,AYUNGON,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Tayasan,6211,NEGROS ORIENTAL,TAYASAN,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Jimalalud,6212,NEGROS ORIENTAL,JIMALALUD,USE_POSTAL_PH
Negros Island Region,Negros Oriental,La Libertad,6213,NEGROS ORIENTAL,LA LIBERTAD,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Guihulngan,6214,NEGROS ORIENTAL,GUIHULNGAN,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Valencia,6215,NEGROS ORIENTAL,VALENCIA,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Bacung,6216,NEGROS ORIENTAL,BACUNG,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Dauin,6217,NEGROS ORIENTAL,DAUIN,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Zamboanguita,6218,NEGROS ORIENTAL,ZAMBOANGUITA,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Siaton,6219,NEGROS ORIENTAL,SIATON,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Sta. Catalina,6220,NEGROS ORIENTAL,STA CATALINA,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Bayawan,6221,NEGROS ORIENTAL,BAYAWAN,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Basay,6222,NEGROS ORIENTAL,BASAY,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Canlaon City,6223,NEGROS ORIENTAL,CANLAON CITY,USE_POSTAL_PH
Negros Island Region,Negros Oriental,Valle hermoso,6224,NEGROS ORIENTAL,VALLE HERMOSO,USE_POSTAL_PH
Negros Island Region,Siquijor,Siquijor,6225,SIQUIJOR,SIQUIJOR,USE_POSTAL_PH
Negros Island Region,Siquijor,Larena,6226,SIQUIJOR,LARENA,USE_POSTAL_PH
Negros Island Region,Siquijor,San Juan,6227,SIQUIJOR,SAN JUAN,USE_POSTAL_PH
Negros Island Region,Siquijor,Lazi,6228,SIQUIJOR,LAZI,USE_POSTAL_PH
Negros Island Region,Siquijor,Maria,6229,SIQUIJOR,MARIA,USE_POSTAL_PH
Negros Island Region,Siquijor,Enrique Villanueva,6230,SIQUIJOR,ENRIQUE VILLANUEVA,USE_POSTAL_PH
Region 6 (Western Visayas),Aklan,Kalibo,5600,AKLAN,KALIBO,USE_POSTAL_PH
Region 6 (Western Visayas),Aklan,Banga,5601,AKLAN,BANGA,USE_POSTAL_PH
Region 6 (Western Visayas),Aklan,Libacao,5602,AKLAN,LIBACAO,USE_POSTAL_PH
Region 6 (Western Visayas),Aklan,Madalag,5603,AKLAN,MADALAG,USE_POSTAL_PH
Region 6 (Western Visayas),Aklan,Numancia,5604,AKLAN,NUMANCIA,USE_POSTAL_PH
Region 6 (Western Visayas),Aklan,Lezo,5605,AKLAN,LEZO,USE_POSTAL_PH
Region 6 (Western Visayas),Aklan,Malinao,5606,AKLAN,MALINAO,USE_POSTAL_PH
Region 6 (Western Visayas),Aklan,Nabas,5607,AKLAN,NABAS,USE_POSTAL_PH
Region 6 (Western Visayas),Aklan,Malay,5608,AKLAN,MALAY,USE_POSTAL_PH
Region 6 (Western Visayas),Aklan,Buruanga,5609,AKLAN,BURUANGA,USE_POSTAL_PH
Region 6 (Western Visayas),Aklan,New Washington,5610,AKLAN,NEW WASHINGTON,USE_POSTAL_PH
Region 6 (Western Visayas),Aklan,Makato,5611,AKLAN,MAKATO,USE_POSTAL_PH
Region 6 (Western Visayas),Aklan,Tangalan,5612,AKLAN,TANGALAN,USE_POSTAL_PH
Region 6 (Western Visayas),Aklan,Ibajay,5613,AKLAN,IBAJAY,USE_POSTAL_PH
Region 6 (Western Visayas),Aklan,Balete,5614,AKLAN,BALETE,USE_POSTAL_PH
Region 6 (Western Visayas),Aklan,Batan,5615,AKLAN,BATAN,USE_POSTAL_PH
Region 6 (Western Visayas),Aklan,Altavas,5616,AKLAN,ALTAVAS,USE_POSTAL_PH
Region 6 (Western Visayas),Antique,San Jose,5700,ANTIQUE,SAN JOSE,USE_POSTAL_PH
Region 6 (Western Visayas),Antique,Belison,5701,ANTIQUE,BELISON,USE_POSTAL_PH
Region 6 (Western Visayas),Antique,Patnongon,5702,ANTIQUE,PATNONGON,USE_POSTAL_PH
Region 6 (Western Visayas),Antique,Valderrama,5703,ANTIQUE,VALDERRAMA,USE_POSTAL_PH
Region 6 (Western Visayas),Antique,Bugasong,5704,ANTIQUE,BUGASONG,USE_POSTAL_PH
Region 6 (Western Visayas),Antique,Laua-an,5705,ANTIQUE,LAUA AN,USE_POSTAL_PH
Region 6 (Western Visayas),Antique,Barbaza,5706,ANTIQUE,BARBAZA,USE_POSTAL_PH
Region 6 (Western Visayas),Antique,Tibiao,5707,ANTIQUE,TIBIAO,USE_POSTAL_PH
Region 6 (Western Visayas),Antique,Culasi,5708,ANTIQUE,CULASI,USE_POSTAL_PH
Region 6 (Western Visayas),Antique,Sebaste,5709,ANTIQUE,SEBASTE,USE_POSTAL_PH
Region 6 (Western Visayas),Antique,Libertad,5710,ANTIQUE,LIBERTAD,USE_POSTAL_PH
Region 6 (Western Visayas),Antique,Caluya,5711,ANTIQUE,CALUYA,USE_POSTAL_PH
Region 6 (Western Visayas),Antique,Pandan,5712,ANTIQUE,PANDAN,USE_POSTAL_PH
Region 6 (Western Visayas),Antique,Sibalom,5713,ANTIQUE,SIBALOM,USE_POSTAL_PH
Region 6 (Western Visayas),Antique,San Remegio,5714,ANTIQUE,SAN REMEGIO,USE_POSTAL_PH
